Job Title,YearsExperience,EducationLevel,Location,Age,Gender,Salary
Software Engineer,3,Bachelor,New York,25,Male,85000
Data Scientist,5,Master,San Francisco,29,Female,125000
Project Manager,8,Master,Chicago,35,Male,115000
Web Developer,2,Bachelor,Austin,24,Female,65000
HR Specialist,4,Bachelor,New York,28,Female,72000
Business Analyst,6,Master,Boston,32,Male,95000
Software Engineer,7,Master,Seattle,30,Male,120000
Data Engineer,5,Master,San Francisco,31,Female,118000
UX Designer,3,Bachelor,Los Angeles,26,Female,80000
Product Manager,9,Master,New York,36,Male,130000
Database Administrator,6,Bachelor,Chicago,33,Male,99000
Machine Learning Engineer,7,PhD,San Francisco,30,Male,145000
Technical Writer,4,Bachelor,Boston,28,Female,70000
System Analyst,5,Bachelor,Seattle,29,Female,94000
DevOps Engineer,6,Master,Austin,32,Male,110000
Recruiter,3,Bachelor,Los Angeles,27,Female,65000
Marketing Manager,8,Master,Chicago,35,Female,105000
Cloud Architect,10,Master,San Francisco,38,Male,155000
Software Tester,4,Bachelor,New York,28,Female,75000
IT Support,2,Bachelor,Boston,24,Male,58000
